Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
United Arab Emirates,Middle East and North Africa,6.790800095,0.04069837928,6.870568752,6.711031437,11.1099987,0.8491811156,67.08278656,0.9413455129,0.1234508455,0.5945022106,1.972316742,1.431086421,1.251170993,0.7878144383,0.652936101,0.2806559801,0.2202135175,2.166965961
Malta,Western Europe,6.772799969,0.04295810312,6.856997967,6.688601971,10.53383827,0.9303795099,72.19999695,0.9249114394,0.2149658054,0.6585472822,1.972316742,1.252513289,1.442956924,0.9720420241,0.6332390308,0.3411808312,0.1788640767,1.952012062
France,Western Europe,6.663799763,0.0375767909,6.737450123,6.590149403,10.58422279,0.9371037483,73.80193329,0.8254676461,-0.1306419671,0.5835211277,1.972316742,1.268129349,1.458839178,1.029714227,0.5140509009,0.1126077026,0.2273032367,2.053198338
Mexico,Latin America and Caribbean,6.465000153,0.04812246934,6.559319973,6.370680332,9.797797203,0.8386654258,68.29902649,0.8587092757,-0.1752666235,0.8068215847,1.972316742,1.024387479,1.226333499,0.8316010237,0.5538925529,0.0830944851,0.08313366771,2.662540197
Taiwan Province of China,East Asia,6.45539999,0.03913957626,6.532113552,6.378686428,10.77568531,0.8943091035,69.59999847,0.7715303302,-0.07319869846,0.7318829298,1.972316742,1.327470541,1.357760668,0.8784379959,0.4494043887,0.1505987048,0.1315163523,2.160238743
Uruguay,Latin America and Caribbean,6.440100193,0.04541908205,6.529121399,6.351078987,9.948192596,0.9228112698,69.00254822,0.8923954368,-0.1011031121,0.6359941363,1.972316742,1.071000457,1.425081134,0.856928885,0.5942670703,0.1321436912,0.1934250742,2.167276382
Saudi Arabia,Middle East and North Africa,6.406499863,0.05653361231,6.517305851,6.295693874,10.79781246,0.8740670681,66.30514526,0.8541912436,-0.1686950624,0.6826195121,1.972316742,1.334328532,1.309950113,0.7598181367,0.5484774709,0.08744068444,0.1633223146,2.203118801
Spain,Western Europe,6.400899887,0.04230036959,6.483808517,6.317991257,10.46292686,0.921125412,74.40270996,0.7519895434,-0.05096171424,0.7658599019,1.972316742,1.230535269,1.421099186,1.051343083,0.4259838164,0.1653054804,0.1095797792,1.997088432
Guatemala,Latin America and Caribbean,6.398900032,0.05839830264,6.5133605,6.284439564,8.924805641,0.8166214824,64.8089447,0.9081475735,-0.04293866456,0.7832374573,1.972316742,0.7538157105,1.174267054,0.7059525847,0.6131467223,0.1706116647,0.09836030006,2.882723093
Italy,Western Europe,6.38740015,0.04328807443,6.47224474,6.302555561,10.48183632,0.889878571,73.60168457,0.6646519899,-0.04346099868,0.8734046817,1.972316742,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.04014559835,2.249505997
Singapore,Southeast Asia,6.377099991,0.0332589671,6.442287445,6.311912537,11.39552116,0.9102689624,76.80458069,0.9266453385,0.02987922356,0.1097841933,1.972316742,1.519580126,1.39545691,1.137814283,0.6353172064,0.2187709063,0.5331622362,0.9370317459
Brazil,Latin America and Caribbean,6.375599861,0.04079068825,6.455549717,6.295650005,9.56643486,0.8967238069,66.48016357,0.7998048067,-0.1018123925,0.7706012726,1.972316742,0.9526798725,1.363464117,0.7661190629,0.4832927287,0.1316745877,0.1065186039,2.571860313
Slovenia,Central and Eastern Europe,6.363399982,0.04384131357,6.449328899,6.277471066,10.39232254,0.9395756721,71.1029892,0.9361426234,-0.08060338348,0.8170710206,1.972316742,1.208652496,1.464677691,0.9325480461,0.6467001438,0.1457014978,0.07651632279,1.888586521
El Salvador,Latin America and Caribbean,6.34829998,0.05824843794,6.462466717,6.234133244,8.909075737,0.8060922623,66.10826111,0.833805263,-0.1210729778,0.7543199062,1.972316742,0.7489404082,1.149397612,0.7527300119,0.5240439177,0.1189363003,0.1170303524,2.937191725
Kosovo,Central and Eastern Europe,6.325200081,0.05221627653,6.427544117,6.222856045,9.204429626,0.8207265139,63.88555527,0.8615359068,0.190933764,0.9223282933,1.972316742,0.8404813409,1.183962822,0.672709167,0.5572804213,0.3252868652,0.008559023961,2.736902714
Panama,Latin America and Caribbean,6.304800034,0.05972493067,6.421860695,6.187739372,10.03423405,0.9020944834,69.60301208,0.8803665042,-0.1539277136,0.8515889049,1.972316742,1.097667813,1.376149297,0.878546536,0.5798497796,0.09720730782,0.05423052609,2.221176147
Slovakia,Central and Eastern Europe,6.280600071,0.03889757022,6.35683918,6.204360962,10.34774971,0.9224937558,68.90634155,0.7499526739,-0.1244093031,0.9180961251,1.972316742,1.194837689,1.424331188,0.8534652591,0.4235425293,0.1167297736,0.01129144058,2.256422043
Uzbekistan,Commonwealth of Independent States,6.257599831,0.05422754958,6.36388588,6.151313782,8.740371704,0.9265958071,65.10757446,0.9749981165,0.2484271526,0.5014973879,1.972316742,0.6966529489,1.434020042,0.7167037129,0.6932703257,0.3633110225,0.2802602649,2.073346615
Chile,Latin America and Caribbean,6.228499889,0.04572388902,6.318118572,6.138881207,10.0320549,0.8797135949,69.90061951,0.7448962927,-0.06566836685,0.8382394314,1.972316742,1.096992493,1.323286891,0.8892608285,0.4174822271,0.1555790007,0.06284935027,2.283012867
Bahrain,Middle East and North Africa,6.227300167,0.08188226074,6.387789249,6.066811085,10.67638016,0.8763421178,68.5,0.9058557749,0.1337291896,0.7393471003,1.972316742,1.296692252,1.31532371,0.8388363719,0.6103999019,0.287453711,0.1266972572,1.751917362
Lithuania,Central and Eastern Europe,6.215499878,0.04419310763,6.302118301,6.128881454,10.34362602,0.9261071086,67.29407501,0.7473814487,-0.2197252959,0.8095838428,1.972316742,1.193559647,1.432865739,0.7954211831,0.4204607904,0.05369104072,0.08135027438,2.238146067
Trinidad and Tobago,Latin America and Caribbean,6.191899776,0.114448458,6.416218758,5.967580795,10.26000214,0.9152941704,63.5,0.8579071164,0.0005268406821,0.9122306108,1.972316742,1.167641521,1.407326221,0.6588285565,0.5529311299,0.1993582547,0.01507839561,2.190695763
Poland,Central and Eastern Europe,6.186299801,0.03550016508,6.255880356,6.116719246,10.26512432,0.8742574453,69.31113434,0.8620557785,-0.2050840706,0.6869270205,1.972316742,1.16922915,1.310399771,0.8680384755,0.5579035282,0.06337424368,0.1605412513,2.056797981
Colombia,Latin America and Caribbean,6.163400173,0.05648087338,6.274102688,6.052697659,9.500369072,0.8844402432,67.69958496,0.8361799121,-0.1612356454,0.8645718098,1.972316742,0.9322037101,1.33445096,0.8100201488,0.5268900394,0.09237409383,0.0458483696,2.421656609
Cyprus,Western Europe,6.15899992,0.05060593784,6.258187771,6.059812069,10.40570259,0.8059962392,73.70222473,0.7798582911,0.04373149574,0.8562717438,1.972316742,1.21279943,1.149170756,1.026124597,0.4593858719,0.2279323339,0.05120714381,2.032334805
Nicaragua,Latin America and Caribbean,6.13710022,0.06388696283,6.262318611,6.011881828,8.493160248,0.8574970365,67.50717926,0.8639028668,0.02095914073,0.6659501195,1.972316742,0.620033145,1.27081275,0.8030932546,0.5601173043,0.212871477,0.174084574,2.496081114
Romania,Central and Eastern Europe,6.123700142,0.0474325642,6.216668129,6.030732155,10.107584,0.8251615167,67.20723724,0.8428232074,-0.1978152096,0.9343002439,1.972316742,1.120401621,1.1944381,0.7922948599,0.5348523259,0.06818161905,0.0008295688313,2.412749767
Kuwait,Middle East and North Africa,6.102099895,0.05329773203,6.206563473,5.997636318,11.08982468,0.8464752436,66.76764679,0.872366488,-0.1001847014,0.7608490586,1.972316742,1.424833655,1.244779825,0.7764689326,0.5702614188,0.1327510923,0.1128149331,1.840167999
Mauritius,Sub-Saharan Africa,6.101299763,0.05722649395,6.213463783,5.989135742,9.956786156,0.9103578329,66.40434265,0.889534533,-0.01831857301,0.8053430915,1.972316742,1.07366395,1.395666838,0.7633894086,0.5908381343,0.1868945509,0.08408822864,2.006720543
Kazakhstan,Commonwealth of Independent States,6.057899952,0.04322978482,6.1426301,5.973169804,10.11465836,0.9347448945,64.60996246,0.8116019368,-0.06848863512,0.7644908428,1.972316742,1.122594237,1.453267694,0.6987889409,0.4974321425,0.1537137926,0.1104636863,2.021602631
Estonia,Central and Eastern Europe,6.021800041,0.03598519415,6.092330933,5.95126915,10.34001732,0.9347299933,68.60495758,0.8777091503,-0.1116977707,0.6230738163,1.972316742,1.192441225,1.453232527,0.8426150084,0.5766648054,0.125136748,0.2017668188,1.629928112
Philippines,Southeast Asia,6.006000042,0.04985840246,6.103722572,5.908277512,8.993545532,0.8467300534,61.92676163,0.9154634476,-0.1054630056,0.7336341143,1.972316742,0.7751206756,1.245381713,0.6021894813,0.6219151616,0.1292602122,0.1303857267,2.501741886
Hungary,Central and Eastern Europe,6.000400066,0.03947322071,6.077767372,5.923032761,10.24924374,0.9219341278,67.60997009,0.7189645767,-0.1943230182,0.8929165006,1.972316742,1.164307117,1.423009396,0.8067938685,0.3864018023,0.07049123943,0.02754817344,2.121845722
Thailand,Southeast Asia,5.998799801,0.04259629548,6.082288742,5.91531086,9.741791725,0.8899732232,67.25059509,0.9050630331,0.2686851919,0.8862723112,1.972316742,1.007029295,1.347519517,0.7938558459,0.6094498038,0.3767090142,0.03183786198,1.832384109
Argentina,Latin America and Caribbean,5.974699974,0.0534417592,6.079445839,5.869954109,9.810955048,0.9005679488,68.80380249,0.831132412,-0.1949138641,0.8420098424,1.972316742,1.028465629,1.372543693,0.849773705,0.5208403468,0.07010047138,0.06041505933,2.072540998
Honduras,Latin America and Caribbean,5.953199863,0.06573159248,6.082033634,5.824366093,8.424534798,0.8218701482,67.19876862,0.8706032634,0.08696911484,0.8011319041,1.972316742,0.5987635851,1.186664104,0.7919899821,0.5681480765,0.2565281987,0.08680710196,2.464295387
Latvia,Central and Eastern Europe,5.949999809,0.03483813629,6.018282413,5.881717205,10.17531967,0.9182885885,66.8074646,0.6712376475,-0.1868888438,0.7955800891,1.972316742,1.14139545,1.414398789,0.7779024243,0.3291988075,0.07540794462,0.09039152414,2.121283054
Ecuador,Latin America and Caribbean,5.925199986,0.05288063362,6.028846264,5.821553707,9.246058464,0.8364189863,68.50003815,0.859828949,-0.1270149648,0.8012151122,1.972316742,0.8533836007,1.221027613,0.8388377428,0.5552345514,0.1150064766,0.08675338328,2.254933834
Portugal,Western Europe,5.910900116,0.05315819755,6.015089989,5.806710243,10.26374245,0.8865907192,72.40202332,0.8887478113,-0.2207143009,0.8926295042,1.972316742,1.168800831,1.339530349,0.9793152809,0.5898951888,0.0530369468,0.02773346566,1.752558708
Jamaica,Latin America and Caribbean,5.889800072,0.1205904335,6.126157284,5.65344286,9.006250381,0.9157018661,67.09999847,0.8580685258,-0.1251067668,0.888890028,1.972316742,0.7790583968,1.408289194,0.7884340882,0.5531246066,0.1162684932,0.03014778532,2.214436531
South Korea,East Asia,5.872399807,0.04408501461,5.958806515,5.785993099,10.51056671,0.799387157,73.6027298,0.612965107,-0.04340403154,0.7890674472,1.972316742,1.245300651,1.133560538,1.022542596,0.2593563497,0.1703038663,0.09459628165,1.946757078
Japan,East Asia,5.870800018,0.04139166698,5.951927662,5.789672375,10.57968903,0.8835459352,75.00096893,0.8099613786,-0.2469103485,0.6545580626,1.972316742,1.26672411,1.332338691,1.072881341,0.4954658747,0.03571178019,0.1814396381,1.486200333
Peru,Latin America and Caribbean,5.796800137,0.06131120399,5.916970253,5.67663002,9.456313133,0.8310752511,68.10023499,0.8247660995,-0.1623882204,0.8937149644,1.972316742,0.91854918,1.208405972,0.8244441748,0.5132100582,0.09161181748,0.02703266032,2.213499546
Serbia,Central and Eastern Europe,5.77820015,0.05071232468,5.877596378,5.678803921,9.680980682,0.8814757466,68.21020508,0.726495862,-0.07367622107,0.8435090184,1.972316742,0.9881818295,1.327448964,0.8284032941,0.3954284191,0.1502828896,0.05944714695,2.029040098
Bolivia,Latin America and Caribbean,5.747499943,0.05064542219,5.846765041,5.648234844,8.851115227,0.8031086922,63.6004715,0.8758733273,-0.09168113023,0.8226062059,1.972316742,0.7309763432,1.142350554,0.6624456644,0.5744645,0.1383750737,0.07294263691,2.425928593
Pakistan,South Asia,5.69329977,0.04821622372,5.78780365,5.598795891,8.482727051,0.6890622973,58.25313568,0.7348337173,0.04489986971,0.7457054257,1.972316742,0.6167994738,0.8729795814,0.4699332416,0.4054217339,0.2287050635,0.1225921214,2.976876736
Paraguay,Latin America and Caribbean,5.692100048,0.05195786431,5.793937683,5.590262413,9.389982224,0.8987278938,65.63993835,0.8859234452,0.007997713052,0.8347885013,1.972316742,0.8979908228,1.36819756,0.7358696461,0.5865100622,0.2042992413,0.06507737935,1.83412528
Dominican Republic,Latin America and Caribbean,5.689199924,0.0698312968,5.826069355,5.552330494,9.664880753,0.8820853829,65.80748749,0.8662027717,-0.1312632859,0.7559999228,1.972316742,0.9831918478,1.328888893,0.7419016957,0.5628738999,0.1121967807,0.1159456819,1.844246864
Bosnia and Herzegovina,Central and Eastern Europe,5.674099922,0.04638596252,5.765016556,5.583183289,9.455817223,0.8292041421,67.80813599,0.6513527036,0.09827455878,0.9337691069,1.972316742,0.9183954597,1.203986526,0.8139281869,0.3053657413,0.2640052438,0.001172487042,2.16724205
Moldova,Commonwealth of Independent States,5.607500076,0.04227557778,5.690360069,5.524640083,8.776714325,0.8433135748,65.01301575,0.7216091752,-0.03774103895,0.9133142829,1.972316742,0.7079167962,1.237312198,0.7132994533,0.3895714879,0.1740491837,0.01437874418,2.370968342
Tajikistan,Commonwealth of Independent States,5.555699825,0.03232157603,5.619050026,5.492349625,8.024810791,0.8352971077,64.10459137,0.8313834071,-0.02508851141,0.5920760632,1.972316742,0.4748746157,1.218377709,0.6805948019,0.5211411715,0.1824171245,0.2217799127,2.25650835
Montenegro,Central and Eastern Europe,5.54610014,0.04898582026,5.642112255,5.450088024,9.751860619,0.8553146124,68.50534821,0.6495656371,-0.07560035586,0.7831215858,1.972316742,1.010150075,1.265657902,0.8390288949,0.3032238483,0.1490103304,0.09843511134,1.880565882
Russia,Commonwealth of Independent States,5.546000004,0.03960967064,5.623634815,5.468365192,10.12887192,0.9031507373,64.10045624,0.7298926115,-0.1511537433,0.864802599,1.972316742,1.126999617,1.378644109,0.6804459095,0.3994995952,0.09904191643,0.04569936171,1.815716743
Kyrgyzstan,Commonwealth of Independent States,5.541500092,0.04367746785,5.627108097,5.455892086,8.148405075,0.8872284889,64.10601044,0.9093748927,0.1547720581,0.8883960843,1.972316742,0.5131809711,1.341036677,0.6806458831,0.6146177649,0.3013707399,0.03046669066,2.060206652
Belarus,Commonwealth of Independent States,5.539899826,0.03706003726,5.612537384,5.467262268,9.779945374,0.9067474604,66.10433197,0.6391630769,-0.1649265438,0.6357116699,1.972316742,1.018854499,1.38713932,0.7525885701,0.290755868,0.08993306011,0.1936074346,1.8069911
North Cyprus,Western Europe,5.53550005,0.05103724077,5.635532856,5.435467243,10.40570259,0.8203566074,73.70222473,0.79529351,0.0002271585254,0.6261156797,1.972316742,1.21279943,1.183089137,1.026124597,0.4778857231,0.1991600543,0.1998029053,1.23668766
Greece,Western Europe,5.514999866,0.04693183303,5.606986046,5.423013687,10.13232613,0.8143803477,72.40525818,0.5413451195,-0.3009073734,0.8599314094,1.972316742,1.128070116,1.168973565,0.9794317484,0.173516348,0,0.04884435236,2.016179085
Hong Kong S.A.R. of China,East Asia,5.510399818,0.04601902887,5.600596905,5.420202732,10.9346714,0.8459690809,76.77170563,0.7798337936,0.1349799037,0.4206072092,1.972316742,1.376746058,1.243584275,1.136630654,0.4593565166,0.2882809043,0.3324854374,0.6732931137
Croatia,Central and Eastern Europe,5.504700184,0.03778364509,5.578756332,5.430644035,10.07087517,0.8746237159,70.21490479,0.7148388028,-0.1285383254,0.9164952636,1.972316742,1.109024286,1.311264873,0.9005755782,0.3814568818,0.1139989793,0.01232500561,1.676029205
Libya,Middle East and North Africa,5.488800049,0.06067720428,5.607727528,5.36987257,9.789815903,0.8259429336,62.29999924,0.7731570005,-0.08505448699,0.6687791348,1.972316742,1.021913767,1.196283698,0.6156266332,0.4513540566,0.1427576989,0.1722580791,1.888563156
Mongolia,East Asia,5.456200123,0.04031323642,5.535213947,5.377186298,9.412186623,0.9371424913,62.30448532,0.6933513284,0.0980938673,0.8635112047,1.972316742,0.9048727751,1.458930612,0.6157881618,0.3557031155,0.2638857365,0.04653312638,1.810527563
Malaysia,Southeast Asia,5.384300232,0.04880269617,5.479953289,5.288647175,10.26251888,0.8165094256,67.10215759,0.8946268559,0.1147267967,0.8393023014,1.972316742,1.168421626,1.17400229,0.7885118723,0.5969415307,0.2748861611,0.06216313317,1.319420815
Vietnam,Southeast Asia,5.353499889,0.03380076215,5.41974926,5.287250519,8.809545517,0.8499871492,67.9527359,0.9395929575,-0.09453333169,0.7964212298,1.972316742,0.718092382,1.253074765,0.819133997,0.6508355737,0.1364887208,0.08984845877,1.685977936
Indonesia,Southeast Asia,5.285600185,0.04769238085,5.379077435,5.192122936,9.36975193,0.8083798885,62.15584946,0.8706144094,0.5195865035,0.876296401,1.972316742,0.8917207122,1.154800892,0.6104370356,0.568161428,0.5426465273,0.03827861324,1.479573488
Ivory Coast,Sub-Saharan Africa,5.233300209,0.07309551537,5.376567364,5.090033054,8.225561142,0.6580486894,49.50377274,0.7279093266,-0.04399115592,0.7907719612,1.972316742,0.5370944142,0.7997272611,0.1549425125,0.3971225321,0.1699155867,0.09349579364,3.081022501
Benin,Sub-Saharan Africa,5.21600008,0.07775924355,5.368408203,5.063591957,7.674319744,0.4686711431,54.31246567,0.7351825833,-0.003537212731,0.740532577,1.972316742,0.3662447035,0.3524284363,0.3280629516,0.4058398902,0.1966704279,0.1259318739,3.440809727
Maldives,South Asia,5.197599888,0.07198540121,5.338691235,5.056508541,9.518632889,0.9131609201,70.59999847,0.853962779,0.03808549792,0.824211061,1.972316742,0.9378643036,1.402287602,0.914439559,0.5482036471,0.224198252,0.07190649211,1.098674774
Congo (Brazzaville),Sub-Saharan Africa,5.194399834,0.07702896744,5.345376492,5.043423176,8.536987305,0.6402280927,57.92448044,0.7190585136,-0.1236740947,0.7517790794,1.972316742,0.6336167455,0.7576360106,0.4581011236,0.3865143955,0.1172160134,0.1186707839,2.722619534
Azerbaijan,Commonwealth of Independent States,5.164800167,0.03419724107,5.231826782,5.097773552,9.687726974,0.8193082809,65.50839996,0.7868241072,-0.2402552813,0.5525375605,1.972316742,0.9902727008,1.180613041,0.731134057,0.4677347243,0.0401132144,0.2473071814,1.507632971
Macedonia,Central and Eastern Europe,5.159800053,0.04676153511,5.251452446,5.068147659,9.510591507,0.8203923106,67.50442505,0.7388409376,-0.01987745054,0.8974905014,1.972316742,0.935371995,1.183173537,0.802994132,0.4102245867,0.1858635396,0.02459505945,1.617594957
Ghana,Sub-Saharan Africa,5.147999763,0.05863460898,5.262923717,5.033075809,8.350645065,0.7286010981,57.20398712,0.7947965264,0.0941708535,0.8479647636,1.972316742,0.5758624673,0.96636796,0.432162255,0.4772900641,0.2612912059,0.05657038093,2.378437281
Nepal,South Asia,5.137199879,0.05769208446,5.250276566,5.024123192,7.925357342,0.7855124474,63.77917862,0.797565043,0.1541688293,0.7380991578,1.972316742,0.4440503716,1.100789309,0.6688793898,0.4806082547,0.300971806,0.1275029629,2.014386892
Turkey,Middle East and North Africa,5.131800175,0.03983845934,5.20988369,5.05371666,10.12941933,0.8263135552,66.90281677,0.608830452,-0.1710464358,0.7481973767,1.972316742,1.127169251,1.197159171,0.7813352942,0.2544007599,0.08588556945,0.120983243,1.564816713
China,East Asia,5.123899937,0.02590166405,5.174667358,5.073132515,9.688568115,0.7987605929,69.2891922,0.8985179067,-0.1814257503,0.7539710999,1.972316742,0.9905334115,1.132080674,0.8672485352,0.6016051173,0.07902104408,0.1172555536,1.336181879
Turkmenistan,Commonwealth of Independent States,5.119100094,0.02937981673,5.17668438,5.061515808,9.74803257,0.9589661956,62.21170807,0.8264570236,0.1876715422,0.8836918473,1.972316742,1.008963585,1.510476947,0.6124480367,0.5152366757,0.3231293261,0.03350389004,1.115337372
Bulgaria,Central and Eastern Europe,5.101500034,0.04422117025,5.188173294,5.014826775,9.869318962,0.9378403425,66.80397797,0.7451781631,-0.1439084411,0.9355851412,1.972316742,1.046554685,1.460578918,0.777776897,0.4178200662,0.1038337126,0,1.294961452
Morocco,Middle East and North Africa,5.094799995,0.05565045029,5.203875065,4.985724926,8.940313339,0.592628479,65.89624023,0.7720724344,-0.2403772473,0.8157246113,1.972316742,0.7586221099,0.645208478,0.7450969219,0.4500541389,0.04003255069,0.07738560438,2.378402472
Cameroon,Sub-Saharan Africa,5.084899902,0.06729607284,5.216800213,4.952999592,8.118647575,0.700386405,52.7049408,0.7630518079,-0.001496450393,0.8513365984,1.972316742,0.5039580464,0.8997264504,0.2701895535,0.4392424822,0.1980201006,0.05439342186,2.719370842
Venezuela,Latin America and Caribbean,5.053199768,0.06428050995,5.179189682,4.927209854,8.977793694,0.8904081583,66.50534058,0.6232783198,-0.1690905094,0.8370383978,1.972316742,0.7702386379,1.348546863,0.7670255303,0.2717172205,0.08717915416,0.0636247769,1.74484086
Algeria,Middle East and North Africa,5.005099773,0.04423600808,5.09180212,4.918397427,9.537964821,0.8033851385,65.90517426,0.4666109085,-0.1211051643,0.7354851365,1.972316742,0.9438560009,1.143003583,0.7454185486,0.08394379914,0.118915014,0.1291906536,1.840811729
Senegal,Sub-Saharan Africa,4.980800152,0.0527690798,5.084227562,4.877372742,8.118982315,0.723616004,59.59915161,0.6905961633,-0.05233515427,0.8087851405,1.972316742,0.5040618181,0.95459342,0.5183919072,0.3524008989,0.1643971354,0.08186593652,2.405123949
Guinea,Sub-Saharan Africa,4.949299812,0.07304222882,5.09246254,4.806137085,7.750990391,0.6375734806,54.46780014,0.7068467736,0.0763284713,0.7617944479,1.972316742,0.3900077343,0.7513659596,0.3336552382,0.3718780577,0.2494908422,0.1122045591,2.740729809
Niger,Sub-Saharan Africa,4.909599781,0.07720828056,5.060927868,4.758271694,6.842166901,0.6174350381,53.50009537,0.7597721219,0.01386081707,0.7225301862,1.972316742,0.1083303317,0.7038001418,0.2988163531,0.4353116155,0.208176896,0.1375547647,3.017630577
